text,profanity
@ fart : friends 2014 @ chevrolet malibu legroom ventilation necessary professional pussy-eating . visit chevy d,1
@ dswizzle3 @ dswizzle boy u look like big bird sesame street,0
naw bitch ai n't meek mills,1
@ bigshaadswerver : yu money gon throw party pussy,1
"@ imtoblame : @ latry : hispanic women just great pussy wife skills , white girls dick sucking black chicks .... ca",1
"money n pussy want , need",1
@ dj_leezy : @ thekaosyatti @ jmuggaaa ya mom lick ass christmas gifts bitch lol,1
@ _littlepuffin hoe *,1
money woman second hoes !,1
`` @ frosstyy_ : @ h0rheyd did n't say tho '' kiss faggot,1
@ a_brown_30 just cleaned entire fucking weight room . looked like tornado went bitch.c'mon franklin @ franklin_probs,1
@ reiatethings : hate netflix stop asks im watchin like yes u think got started doin somethin life bitch,1
"@ mrmooncricket @ racistnegro69 fuck , stupid ass coward ass punk bitch faggot ass racist piece shit . punk . bitch , ai n't worth time !",1
clubbing weekend leaving child baby momma n't wan na hear bitch child support .,1
' sex ina cherry red vet witha fat trap niggah pussy sooo wet .,1
`` @ xojennygirl : 'm making marack girlfriend . '' @ marackaf aye b pullin hoes just like o taught,1
'd thought redneck husband claim hipster glasses ?,0
@ fukkntyler ai n't light skin nigga 'm colored lmao,1
lie tho 'm weak pretty bitch . doing type shit ai n't really .,1
"bitch fell straight chair ... im high , course laughed .. n't 've laughed .",1
@ shmalec13 chad reeds fag 's 5th kinda guy,1
@ lopezwhs : niggas talk bitches days,1
@ t_flye got hoe,1
# thingsnottodoonafirstdate da dick u got ta half stroke da pussy bc u dump dick dat bitch gon extremely anoyin,1
money impresses broke bitches .,1
bitch playing games ? joystick,1
"@ realskipbayless @ kingjames little bitch , 's",1
... aaaaaaaaand begins . @ rileydakafka : fucking niggers 's kentucky,1
wut spook gon dark nigga drive outta hea ..... im sick,1
weird people ghetto time .,0
@ joeylattime @ mawson38 @ americ00n thats just rooting team hate banwagoning u retard u different favorite,1
vulva,1
sh1tsome,1
"@ pinche_adina : `` @ staywavybruh : hoes getting pregnant just shit like shaqualidaemommy , barackeishamommy ig bio",1
"@ sydhinton922 : boy breaks new girlfriend couple days later , did n't know abo",0
"@ billperiman @ offgridsurvival holy fucking hell going epa , over-zealous cunts , ca n't wait 2016",1
@ shmapplemen haha yeah 's just gon na bitch going btw illinois leave mannn . 'm stoked tho,1
# tweetlikepontiacholmes pontiac sprinkler ... nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga,1
smh queer,1
"good morning twitter . make today positive . ca n't , beat meanie-faces possible . , hate flappy bird .",0
ignore birds,0
fag hag switch 'comin !,1
cassie laine brunette slips lingerie massages wet pussy withoil,1
@ pellucidstyles : called 5 seconds summer songs 3 minutes trash,0
arsefucker,1
@ o_shititslaura : @ yadirasarmiento : skinny ugly stop acting like beautiful dumb bitch .,1
@ justawana_ : @ gvmby : bitch possessed thot demon . fucking dead,1
@ thecockiestman : time hoes ?,1
`` rt . thanks @ bmorepocahontas : did pierced pussy just come timeline ``,1
chicks mad tweetin hoes like 'm talkin specific lol sorry ladies shoe fits wear,1
hoe fa @ ac_hussle : incredible vagina rarely attached incredible woman . god weird sense humor .,1
@ brendacoyt_3 : got bitches snowboarding,1
goodnight stuck twats laughing tweets,1
"@ rjakagunner : y'all quick say people `` worship '' celebrities . bitch , love beyonc , talent , legacy stands",1
smh @ _sirhampton_ : shit trash rap @ waymothegod : legend . gon na replace cudi joints like,1
"@ gossipcop coon , n coon wan na b got , time jail",1
lmao s2g having roots yellow/white hair makes look dirty 'm,0
"@ beekayns alas , proficient . skills limited pointless stat memorization + trash talk .",0
playing bitch know wassup,1
@ bryanbalsamo lmao u ai n't savage hoes everybody,1
`` pussy lips like heaven doors ``,1
stop spoiling u fags,1
"@ mikediggem : `` @ badgaltitii : girl wit nigga , like bitch bet snatch ai n't gone . lol ''",1
world series . ned yost fucking everybody bitch low .,1
houston trash drivers,0
@ justfemaie @ cheatingadvice fuck summer bitch ?,1
@ sirtweak_alot : duncanville girls cold den hoe,1
bitches tinder,1
@ kreolekilla : fighting hoe lamest things,1
@ kimble_zyelon : pretty girl like yassss slay hoes,1
@ qovem just played heimer support . biggest faggot . stupid cheese champion .,1
@ polopowell : tha bad bitches need @ currensy_spitta concert bham tonight .,1
@ 305mayor : bad breath ai n't cute called bad bitch 's usually cause shitty attitude unk ai n't lied,1
shittyfuck,1
@ _bucketsmcnasty : iz point jealous cuz dee hoes everybody # # bucketsproverbs,1
panda express trash wanted chinese did n't feel like gettin car,0
`` murda gang bitch gang land ``,1
hella hoes,1
cock,1
"@ morgansmith_20 ohhhhhh , smell challenge . usa vs usa time ya bitch ass",1
livin hoe .,1
breasticles,1
"@ idntwearcondoms : @ mojizel : wow , let quite niggas beat . equal opportunity pussy",1
@ maddieevaans u ur bestie bitch 'm guessing 's dog barks,1
@ traplordhoe : main bitch friends party ...,1
today just joints joints joints reserve wit niggah @ blakkhoodie_562 # smokindrankin,1
"@ russnelligan : . @ karynpolito declares victory introducing `` governor , charlie baker '' @ charlieforgov # wcvb",0
"haha , yankees fans bent shape hu27le graphic",0
@ _kingcorey_ : @ skyereyes_ : @ ginasanabria_ : hoes man . n't need need pick mines,1
@ laurenjauregui ur anal stfu u bitch,1
`` bitches ? '' - @ chellyhernandez,1
@ broski5519 : sum u bitches old braces ....,1
@ s_roach happy birthday nicca coon shit responsible way .,1
@ femaies : `` nah talk ur hoes u dont wan na text n shit '',1
"@ dstacks__23 : aint got shit goin ya self , bitch gone want",1
thot hoe,1
"@ advicetowriters : bird does n't sing answer , sings song . maya angelou # poetry # writing",0
"@ claudialena8 n't saying did , yes kannon ghetto know 's like u look dumb .",0
@ colin_weis : step gauntlet bitch nuts . use wipe ass,1
@ jenny_barajas : @ fazeybaby : quote tweet funniest pic ya camera roll bitch started,1
@ jballinbutts420 : @ jamie_caudillo 're retarded . atleast date bring birthday,1
@ taste_my_lips57 say dat shit @ thoughtsofrandy : bad bitches hate broke niggaz . + knew ..,1
' 's just ? want texting/inboxing/kiking/dming/snapchatting/emailing/ yo girl niggah ?,1
"@ peeabut : dear god , make bird fly far , far far away",0
"nigga got pill poppin bitches backkkk , cherokee",1
@ antoinettea : coming 5:15a : charlie baker 's campaign admits wrong emotional fisherman story w,0
`` riding bros n't trust hoes '',1
@ rocafella123 `` @ waymoflydenu : fleek yo vocabulary faggot '',1
c0cks,1
said bitch look like praying mantis tho ctfu,1
tanning main bitch,1
america white trash americans .,1
ugh crazy bitch crucible smh,1
sock pussy like 'm vegeta,1
'm ho like . body count probably close 100,1
turn hoe house wife bet,1
"@ timoteoshonesto @ vcortesusmc little punk , send ass iraq weeks ! little bitch come home kiss ground !",1
got 3 24 ounce bitch,1
@ idavey : . `` @ paradoxicalmike : know ho particular loves pointing ho . lol '',1
"ok , night night bitches",1
@ kieffer_jason @ hunterbuch66 @ sbsylvester u fucking trailer trash,1
"'m man , y'all pussy niggas middle .",1
dj khaled fool . ! ! ! 500k ring nikki ? bitch spends good million ugly ass wigs,1
c0ckhead,1
early bird takes nap noon .,0
"@ kaycimalynn : @ __0utcast___ hey cunt , miss .",1
approve message ! @ ashley_nomaryk : good pussy mufucka .,1
oh bitch lurkin ! ? bitch 'm twerkin,1
jigro,1
@ thatssoryannn : @ zzachbarness : `` ibs '' irritable bitch syndrome .,1
@ basedchasen : ebola scary yall worried ebola ima b getting hoes,1
"swear anon fags protests just pictures post twitter . `` look , ... like ''",1
lmao funniest way disrespect person calling itty bitty bitch . makes feel low life,1
@ officiallyice : `` 's 're good game . cause u sit unemployed nigger ass playing day . '',1
sheryl crow bae,0
crazy hoe ken folks im talking friends family,1
spring breakkkk bitches,1
faggy,1
"@ ramonastewart ok 're talking language , pussy-whipped rino whining",1
bitch ass niggas,1
@ pattychocmilk : # teabagger math,0
told y'all going shit u. # pussy boy,1
cockless,1
@ cristiannt_ nigga beat ass bitch 've fought u need stop making shit bring yo ass,1
"say butttttttt , ya bitch knows",1
@ romeriohall : @ 1inkkofrosess : 'm bitch like mf,1
drop dead gorgeous bitch ai n't dying nigga,1
"money bitches , bc bitches follow money .",1
"@ shabbacranks : running train fucking bitch , finish . somebody come fuck bitch . 's gangbang speak",1
